Organization Name,City,State,Zipcode,Address,Organization Website,Number,Average Amount
"Access to Capital for Entrepreneurs, Inc.",Cleveland,GA,30528--838,3173 Highway 129 North,http://www.aceloans.org,33,508254.5758
"Partner Community Capital, Inc.",Charles Town,WV,25414,P.O. Box 839,www.partnercapital.org,33,413112.0909
CommunityWorks,Greenville,SC,29606,PO Box 17826,http://communityworkscarolina.org,33,315329.0606
Greater Minnesota Housing Fund,St. Paul,MN,55101--131,332 Minnesota Street  Suite 1650 West,http://www.gmhf.com,31,1348548.387
PIDC Community Capital,Philadelphia,PA,19102--211,1500 Market Street  Suite 3500 West,http://www.PIDCphila.com,31,296967.7419
"Alaska Growth Capital BIDCO, Inc.",Anchorage,AK,99503,"3800 Centerpoint Drive, Suite 1100",http://www.alaskagrowth.com,31,717564.5161
"Community Loan Fund of New Jersey, Inc.",New Brunswick,NJ,08901--129,"100 Albany Street, Suite 250",www.newjerseycommunitycapital.org,30,588994.4
Small Business Assistance Corporation,Savannah,GA,31401--449,"111. E. Liberty Street, suite 100",www.sbacsav.com,29,239052.2759
"Cincinnati Development Fund, Inc.",Cincinnati,OH,45202--710,1224 Race Street,http://www.cincinnatidevelopmentfund.org,27,528185.1852
"Ithaca Neighborhood Housing Services, Inc.",Ithaca,NY,14850--563,115 West Clinton Street,www.ithacanhs.org,26,361548.6154
Finance Fund Capital Corporation,Columbus,OH,43215,"366 East Broad Street, Suite 101",www.financefund.org,26,1340966.231
Housing Assistance Council,Washington,DC,20036,"1828 L Street NW, Suite 505",www.ruralhome.org,25,595621.4
Detroit Development Fund,Detroit,MI,48202,"3031 W. Grand Blvd, Suite 505",www.detroitdevelopmentfund.com,25,164360
"Brightbridge, Inc.",Chattanooga,TN,37402,506 Broad Street,Non given,24,544214.3333
Rockford Community Investment Fund,Rockford,IL,61101,"120 W. State St., 306",Non given,24,116737.5
"Affordable Housing Resources, Inc.",Nashville,TN,37228--152,"50 Vantage Way, Suite 107",www.ahrhousing.org,24,195797.0417
Tulsa Economic Development Corporation,Tulsa,OK,74103--342,"125 W 3rd St, 2nd Fl",www.TEDCnet.com,23,217099.8261
"Housing Development Fund, Inc.",Stamford,CT,06901--169,100 Prospect Street  Suite 100,www.hdfconnects.org,23,344792.2609
"Forward Community Investments, Inc.",Madison,WI,53713,"2352 S Park Street
Suite 326",www.forwardci.org,23,212227
