Organization Name,Number,City,State,Zipcode,Address,Organization Website,
North Philadelphia Financial Partnership,3,Philadelphia,PA,19132--276,"1300 W. Lehigh Avenue, Suite 100",www.npfp.org,
Womens Economic Ventures,3,Santa Barbara,CA,93101--720,"21 E. Canon Perdido, Suite 301",http://www.wevonline.org,
Mvskoke Loan Fund,3,Okmulgee,OK,74447,P.O. Box 580,https://www.MvskokeFund.com,
Business Expansion Funding Corporation,3,Charlotte,NC,28210,"5970 Fairview Rd.
Suite 218",https://www.befcor.com/,
"Midwest Housing Development Fund, Inc.",3,Omaha,NE,68118--254,515 N 162nd Avenue  Suite 202,mhdfinc.com,
"Build Fund, LLC",3,indianapolis,IN,46202--181,1704 Bellefontaine Street,https://buildfund.org/,
"FORGE, Inc.",2,Huntsville,AR,72740--113,PO Box 1138,http://www.forgefund.org,
Catalyst Development Corporation,2,Savannah,GA,31401--550,"701 Martin Luther King, Jr. Blvd.",www.catalyst4people.org,
Native Community Capital,2,Laguna,NM,87026--017,PO Box 176,www.nativecap.org,
Appalachian Community Capital Corporation,2,Christiansburg,VA,24073--163,"110 Peppers Ferry Road, NW",appalachiancommunitycapitalcdfi.org,
Southern Colorado Community Lending LLC,2,Pueblo,CO,81004,1241 E Routt Ave.,Non given,
Washington Area Community Investment Fund,2,Washington,DC,20018--283,2012 Rhode Island Ave NE,http://www.wacif.org,
ADIRONDACK ECONMIC DEVELOPMENT CORPORATION,2,SARANAC LAKE,NY,12983--574,67 MAIN STREET SUITE 300,http://www.aedconline.com,
Piedmont Business Capital,2,Greensboro,NC,27406--220,"1451 S. Elm-Eugene Street
Suite 2121",www.piedmontbusinesscapital.org,
Northwest Side Community Development Corporation,2,Milwaukee,WI,53216--182,"4201 North 27th Street, 7th Floor  Century City Tower",http://www.nwscdc.org,
"Neighborhood Lending Partners of Florida, Inc.",2,Tampa,FL,33607--250,3615 West Spruce Street,www.nlp-inc.com,
Community Housing Fund,2,Beaverton,OR,97005--237,3700 SW Murray Blvd. #2200,http://thechf.org,
Community LendingWorks,2,Springfield,OR,97477--537,212 Main Street,http://www.communitylendingworks.org/,
Northern Community Investment Corporation,2,St. Johnsbury,VT,05819--279,"51 Depot Square, Suite #2",http://www.ncic.org,
Ripple Effect Entrepreneurs Fund,2,Lakewood,NJ,08701,"1750 Cedarbridge Avenue
Suite 3",www.njreef.org,
"FIVE RIVERS LOAN FUND, INC",2,Happy Camp,CA,96039--000,"PO BOX 805	",5rlf.org,
Housing Trust Fund Ventura County,2,Camarillo,CA,93010--632,"360 Mobil Ave., Suite 213A",www.housingtrustfundvc.org,
"Houston Business development, Inc.",2,Houston,TX,77021--377,5330 Griggs Road,http://www.hbdi.org,
AAFE Community Development Fund,2,New York,NY,10002--530,"2 Allen Street, 7th Floor",http://aafecdf.org/,
"Accompany Capital, Inc.",2,New York,NY,10271--309,"120 Broadway, Suite 230",www.accompanycapital.org,
Culleywood Capital,2,Jackson,MS,39216,"3100 Old Canton Road, Suite 200",https://www.culleywoodcapital.com,
